country,total_capacity_mw,total_generation_gwh,total_emissions_tonnes,num_plants,carbon_intensity_gco2_kwh,renewable_capacity_mw,renewable_percentage,dominant_fuel
PER,7432.1,36392.55,13148.23771,32,361.2892668966588,3037.9,40.875391881164134,Gas
SVN,2736.0,12915.34,4567.91934,8,353.6816947908456,422.0,15.423976608187134,Coal
ZWE,1670.0,6745.34,2378.82776,2,352.6623950757115,750.0,44.91017964071856,Coal
ROU,14646.9,49077.5,16737.80714,68,341.0484873923896,4189.9,28.606053158006127,Coal
PNG,406.9,1559.2996,494.01156000000003,15,316.8163193269594,195.0,47.92332268370607,Hydro
ESP,79035.068,226881.13999999998,71666.40538,829,315.87643371326504,31897.829,40.35908338814866,Gas
GUF,252.6,961.01,300.62448,6,312.8213858336542,118.6,46.951702296120345,Hydro
GTM,3689.1,12016.5512,3757.299014,76,312.6769862221367,1247.5,33.81583584071996,Hydro
HND,2164.87,6603.136,1972.71389,40,298.7540904806443,1284.62,59.33935986918383,Oil
CAF,33.664,115.09145600000001,34.2696864,2,297.76047320141635,19.3,57.33127376425855,Hydro
HUN,6290.7,28970.27,8619.56208,18,297.5312995011783,84.6,1.3448423863798942,Gas
UKR,48569.8,157656.14,46732.44676,64,296.42008715930757,6444.8,13.26915078917352,Coal
HRV,3274.5,10440.29,3086.9788200000003,24,295.67941311975056,1622.7,49.555657352267524,Hydro
NGA,6260.0,17606.0,5169.8024399999995,13,293.63867090764506,1910.0,30.5111821086262,Gas
GBR,97155.28448,330833.748,93986.7879,2751,284.0906904697038,38280.58448,39.40144345712897,Gas
CIV,1203.0,4791.09,1347.79848,8,281.31353825538656,599.0,49.79218620116376,Gas
TZA,994.5,4432.67,1153.55496,11,260.23930497871487,561.0,56.41025641025641,Hydro
PRK,9208.0,13014.289999999999,3306.56064,31,254.07153521244723,3805.0,41.32276281494352,Coal
FJI,317.38,859.03992,204.499028,12,238.0553257641391,219.1,69.0339655932951,Hydro
GEO,3831.4,11222.4,2565.0633,19,228.566376176219,2581.4,67.37484992430966,Hydro
MMR,3987.1,16890.74,3778.53344,35,223.70443450079745,2775.2,69.60447443003687,Hydro
GAB,446.81,1591.9940000000001,345.73804,6,217.17295416942522,286.0,64.00931044515565,Hydro
COL,10924.0,34570.73,7487.04806,25,216.57188205166625,6790.0,62.156719150494325,Hydro
