country,Biomass_pct,Coal_pct,Cogeneration_pct,Gas_pct,Geothermal_pct,Hydro_pct,Nuclear_pct,Oil_pct,Other_pct,Petcoke_pct,Solar_pct,Storage_pct,Waste_pct,Wave and Tidal_pct,Wind_pct,total_capacity_mw,num_plants,renewable_ratio,fossil_ratio
IRQ,0.0,0.0,0.0,52.567646443399454,0.0,14.17354052178893,0.0,33.25881303481163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18160.6,28,0.1417354052178893,0.8582645947821109
ISL,0.0,0.0,0.0,0.0,23.021814376559607,76.97818562344038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.6,20,0.9999999999999999,0.0
ISR,0.0,33.00195011523409,0.0,62.819621159432145,0.0,0.0,0.0,0.0,0.0,0.0,3.8920481664825646,0.0,0.0,0.0,0.28638055885120484,14665.8,59,0.041784287253337694,0.9582157127466624
ITA,0.0,12.329150560927097,0.0,52.76779306289645,1.1724458533859878,18.310649173829255,0.0,12.0783812202904,0.5261641484390327,0.0,2.6714390822033662,0.0,0.0,0.0,0.143976898028403,73095.06000000001,396,0.2229851100744701,0.7717532484411395
JAM,0.0,0.0,0.0,15.141955835962145,0.0,1.8675078864353312,0.0,75.58359621451103,0.0,0.0,2.5236593059936907,0.0,0.0,0.0,4.8832807570977925,792.5,10,0.09274447949526814,0.9072555205047318
JOR,0.0,0.0,0.0,79.81290528329967,0.0,0.0,0.0,8.121611565855215,0.0,0.0,12.065483150845116,0.0,0.0,0.0,0.0,4703.5,33,0.12065483150845116,0.8793451684915489
JPN,0.0,19.275572241374388,0.0,24.777721258964686,0.24901812427550607,12.740645743046079,19.751042238126427,20.48616342841727,0.0,0.0,2.6404371909474045,0.0,0.009750849542766414,0.0,0.06964892530547438,215365.85,522,0.15699749983574465,0.6453945692875636
KAZ,0.0,85.18359458879107,0.0,2.1473051320592655,0.0,11.219669315009662,0.0,0.0,0.0,0.0,1.4494309641400043,0.0,0.0,0.0,0.0,18628.0,33,0.12669100279149667,0.8733089972085033
KEN,0.0,0.0,0.0,0.0,30.33106721911582,31.58614586266544,0.0,22.34603161832737,0.0,0.0,2.2406371937728795,0.0,0.0,0.0,13.49611810611851,2485.8999999999996,23,0.7765396838167266,0.2234603161832737
KGZ,0.0,18.547055586130984,0.0,0.0,0.0,80.07705008255365,0.0,1.3758943313153549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.0,8,0.8007705008255366,0.1992294991744634
KHM,0.13178703215603585,33.27622561939905,0.0,0.0,0.0,59.8972061149183,0.0,3.5318924617817613,0.0,0.0,1.5023721665788088,0.0,1.6605166051660518,0.0,0.0,1517.6,16,0.613995782814971,0.3680811808118081
KOR,0.10857252463691539,33.30864313698998,0.0,31.72016678348266,0.0,6.095201215047187,23.198329430754256,4.6796768720818624,0.0,0.0,0.16135083522430482,0.0,0.06948641576762586,0.25534649312756025,0.4032262928876552,99472.68,132,0.06915124836286707,0.6970848679255451
KOS,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,2,0.0,1.0
KWT,0.0,0.0,0.0,99.94391317759892,0.0,0.0,0.0,0.0,0.0,0.0,0.05608682240107687,0.0,0.0,0.0,0.0,17829.5,9,0.0005608682240107687,0.9994391317759892
LAO,0.0,37.65896776729244,0.0,0.0,0.0,62.34103223270755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4986.860000000001,20,0.6234103223270755,0.3765896776729244
LBN,0.0,0.0,0.0,45.404047722552285,0.0,0.0,0.0,54.5959522774477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.3,7,0.0,0.9999999999999999
LBR,0.0,0.0,0.0,0.0,0.0,81.85538881309687,0.0,18.14461118690314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3,2,0.8185538881309686,0.18144611186903142
LBY,0.0,0.0,0.0,94.94463168030813,0.0,0.0,0.0,5.055368319691863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6231.0,12,0.0,1.0
LCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,1,1.0,0.0
LKA,0.0,24.192898040375262,0.0,0.0,0.0,38.754334560898904,0.0,32.39160237628021,0.0,0.0,1.1935163033251794,0.0,0.0,0.0,3.467648719120454,3720.1,48,0.4341549958334454,0.5658450041665547
LSO,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1,1.0,0.0
LTU,0.0,0.0,0.0,71.33035407356479,0.0,28.6696459264352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.8,6,0.286696459264352,0.713303540735648
LUX,0.0,0.0,0.0,22.903033908387865,0.0,77.09696609161215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,2,0.7709696609161214,0.22903033908387865
LVA,0.0,0.0,0.0,39.45605045329129,0.0,60.54394954670871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537.0,5,0.6054394954670871,0.3945605045329129
MAR,0.0,32.59534858052144,0.0,19.154797437442227,0.0,19.275520950703417,0.0,8.936989224564131,0.0,0.0,6.128155482687099,0.0,0.0,0.0,13.909188324081697,8697.56,45,0.3931286475747221,0.6068713524252779
MDA,0.0,86.47906657515443,0.0,11.324639670555937,0.0,2.1962937542896364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.0,6,0.021962937542896365,0.9780370624571038
MDG,0.0,33.33981607534798,0.0,8.215486344567,0.0,31.29775234073292,0.0,20.2011502236546,0.0,0.0,6.945795015697496,0.0,0.0,0.0,0.0,359.93,12,0.3824354735643042,0.6175645264356958
MEX,1.0845670470561637,8.62394353324493,0.0,41.16704801822791,1.4488686926669863,19.951447826456445,2.421194915811365,18.475480992016468,0.0,0.0,4.2831098404737205,0.0,0.0,0.0,2.544339134046009,62365.9,277,0.28227765493643164,0.682664725434893
MKD,0.0,58.71128724497285,0.0,0.0,0.0,41.288712755027156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.6,12,0.41288712755027157,0.5871128724497285
MLI,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5,4,1.0,0.0
MMR,0.0,4.138346166386596,0.0,26.257179403576536,0.0,68.35043013719245,0.0,0.0,0.0,0.0,1.2540442928444233,0.0,0.0,0.0,0.0,3987.1,35,0.6960447443003688,0.30395525569963133
MNE,0.0,24.675324675324674,0.0,0.0,0.0,75.32467532467533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.5,3,0.7532467532467533,0.24675324675324675
